sep=;
OFA-1-084721-1;2024-07-01;YBO;SFO;2;100;80;0;;
OFA-1-084297-1;2024-07-01;TDWI;TJPR;1;20;98;2;{"d00":1,"d13":1};arrachement matiere dans rainure 3 trous
OFA-1-084932-1;2024-07-02;N/A;JMI;2;0;0;0;{"d100":1};Moyennes à grosses bavures 6 trous
OFA-1-084571-1;2024-07-05;N/A;SSE;2;100;104;0;;
OFA-1-084683-1;2024-07-09;MAF;TFAM;1;20;36;0;;
OFA-1-084647-1;2024-06-25;N/A;TEBU;0;60;1030;14;{"d81":11,"d00":3};
OFA-1-084714-1;2024-06-26;DSO;TMOL;0;101;134;3;{"d00":1,"d07":1,"d13":1};
OFA-1-084669-1;2024-06-28;N/A;TEBU;0;72;598;21;{"d83":21};
OFA-1-084721-1;2024-07-01;N/A;VBO;2;100;136;4;{"d01":1,"d08":1,"d15":1,"d22":1};
OFA-1-084831-1;2024-07-02;N/A;TFAM;2;50;960;0;;ras
OFA-1-084335-1;2024-07-02;TOBN;TCGR;0;100;196;13;{"d24":4,"d00":1,"d10":5,"d11":1,"d13":2};
OFA-1-084571-1;2024-07-05;N/A;SSE;2;101;52;0;;
OFA-1-084836-1;2024-06-25;N/A;JMI;2;0;0;0;;Légères bavures 6 trous
OFA-1-084450-1;2024-06-26;N/A;TMOL;0;101;86;0;;
OFA-1-084836-1;2024-06-28;KOU;TTMI;2;100;122;1;{"d13":1};
OFA-1-084721-1;2024-07-02;N/A;SFO;2;100;56;1;{"d00":1};Pce tachée
###
OFA-1-084335-1;2024-07-02;N/A;SFO;2;100;260;10;{"d24":2,"d01":1,"d26":1,"d13":3,"d20":3};
OFA-1-084297-1;2024-07-05;N/A;SSE;2;100;212;0;;
OFA-1-084934-1;2024-07-09;N/A;JMI;2;0;0;0;;Légères bavures 6 trous
OFA-1-084713-1;2024-06-25;N/A;TCGR;1;70;1040;0;;
OFA-1-084836-1;2024-06-28;N/A;TMOL;0;101;100;0;;
OFA-1-084335-1;2024-07-02;N/A;SFO;2;101;39;0;;
OFA-1-084297-1;2024-07-05;N/A;SSE;2;101;65;0;;
OFA-1-084934-1;2024-07-09;N/A;JMI;2;20;1005;0;;
OFA-1-084450-1;2024-06-25;N/A;VBO;2;100;140;0;;
OFA-1-084831-1;2024-06-26;TMDP;TCEM;0;20;65;1;{"d01":1};
OFA-1-084836-1;2024-06-28;N/A;TCGR;2;100;174;2;{"d11":2};
OFA-1-084297-1;2024-07-02;AGE;TLBL;0;20;111;2;{"d11":1,"d13":1};
OFA-1-084293-1;2024-07-05;TADB;TJPR;1;20;19;0;;+ usineur TMBO
OFA-1-085060-1;2024-07-09;N/A;JMI;2;0;0;0;{"d100":1,"d101":1};Grosses bavures 6 trous
###
###1 plateau avec cheminées/bourrelets (1xTNAN)
OFA-1-084773-1;2024-06-25;N/A;JMI;2;0;0;0;;
OFA-1-084831-1;2024-06-26;AMA;TTMI;0;20;117;1;{"d15":1};
OFA-1-084836-1;2024-06-28;N/A;MSZ;1;100;59;0;;
OFA-1-084297-1;2024-07-02;TNBL;TJPR;1;20;8;0;;et usineur TMSE
OFA-1-084369-1;2024-07-05;N/A;SSE;2;100;50;0;;
OFA-1-084683-1;2024-07-09;TSHU;TEBU;1;20;43;0;;
OFA-1-081747-1;2023-11-14;N/A;SSE;2;90;836;0;;
OFA-1-084450-1;2024-06-25;N/A;SSE;2;100;191;0;;
OFA-1-084362-1;2024-06-26;TNBL;MSZ;1;20;21;0;;
OFA-1-084836-1;2024-06-28;AHE;VBO;2;101;242;3;{"d24":1,"d00":1,"d13":1};3 TROUS
OFA-1-084831-1;2024-07-02;N/A;TCGR;0;100;116;1;{"d13":1};
OFA-1-084829-1;2024-07-05;N/A;JMI;2;0;0;0;;Légères à moyennes bavures 6 trous
OFA-1-085000-1;2024-07-09;N/A;JMI;2;0;0;0;{"d100":1,"d101":1};Grosses bavures 6 trous + bavures triangle
###
###4 plateaux avec cheminées / bourrelets (3xTDHA,1xWW)
OFA-1-084450-1;2024-06-25;N/A;SFO;2;100;115;6;{"d07":1,"d11":1,"d20":4};
OFA-1-084362-1;2024-06-26;TDWI;TJPE;0;20;134;1;{"d26":1};
OFA-1-084836-1;2024-06-28;N/A;TLBL;2;100;180;6;{"d08":6};
OFA-1-084919-1;2024-07-02;N/A;JMI;2;0;0;1;{"d100":1,"d101":1};Grosses bavures 6 trous
###
###1 plateau avec cheminées/bourrelets (1xTMDP)
###
###1 pièce ko manque perçages
OFA-1-084829-1;2024-07-05;N/A;JMI;2;20;811;0;;
OFA-1-084713-1;2024-06-26;N/A;TLBL;0;101;127;0;;
OFA-1-084836-1;2024-06-28;N/A;VBO;2;101;60;0;;
OFA-1-084831-1;2024-07-02;N/A;SSE;2;100;180;0;;
OFA-1-084682-1;2024-06-25;N/A;JMI;2;0;0;1;{"d100":1};1 pc ko visuel
OFA-1-084293-1;2024-07-05;N/A;VBO;2;20;45;0;;1h30 mn
OFA-1-081381-1;2023-11-14;HTU;TMSZ;1;80;55;0;;
OFA-1-084362-1;2024-06-25;TNBL;MSZ;1;20;21;0;;
OFA-1-084831-1;2024-06-26;MRS;TJPE;0;20;71;1;{"d13":1};
OFA-1-084836-1;2024-06-28;N/A;SFO;2;100;161;4;{"d26":4};
OFA-1-084831-1;2024-07-02;N/A;SSE;2;101;65;0;;
OFA-1-084720-1;2024-07-05;N/A;JMI;2;0;0;0;{"d100":1,"d101":1};Grosses bavures 6 trous
###
###14 plateaux avec cheminées/bourrelets (1xKOU, 1xTHKI,1xTNAN,1xTNAN/TUEK,1xDSO,3xTMSE,2xTDWI,2xTQAB,1xTMSE/DCR,1xWWW)
OFA-1-084831-1;2024-06-26;TQAB;TJPE;0;20;14;1;{"d13":1};
OFA-1-084836-1;2024-06-28;N/A;SFO;2;101;72;0;;
OFA-1-085068-1;2024-07-02;N/A;JMI;2;0;0;0;{"d101":1};Légères à moyennes bavures 6 trous
###
###6 plateaux avec cheminées/bourrelets (2xTNAN/TMDP,1xAHE,1xTJMC,1xTMLA,1xTHKI)
OFA-1-084293-1;2024-07-05;N/A;SFO;2;20;57;0;;
OFA-1-084714-1;2024-06-26;N/A;SSE;2;100;85;0;;
OFA-1-084773-1;2024-06-28;N/A;TCGR;2;100;32;1;{"d25":1};
OFA-1-081694-1;2023-11-15;N/A;TFAM;1;70;507;0;;
OFA-1-084831-1;2024-07-02;LVA;TMOL;1;101;131;10;{"d24":6,"d01":2,"d08":1,"d11":1};
